champion,voice_line,is_spoken
Aatrox,"Now, hear the silence of annihilation!",True
Aatrox,Let me end this!,True
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",True
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",True
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",True
Aatrox,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",True
Aatrox,"I am your reckoner, mortals.",True
Aatrox,"Challenge me, mortals! I am here!",True
Aatrox,Am I the abyss? Or did I gaze into it?,True
Aatrox,The only peace I seek... is death!,True
Aatrox,"I am oblivion, I am destruction... I am doom.",True
Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,True
Aatrox,This cursed form... This crude decaying flesh! I loathe it!,True
Aatrox,"*Laughs* ""Let them lament... my name.""",False
Aatrox,I stood against the void. Now... I would welcome it.,True
Aatrox,I cannot die... until all life ends.,True
Aatrox,"Primitives worship me, hoping for mercy. I shall give them death.",True
Aatrox,They will call me a god killer!,True
Aatrox,I am doom!,True
Aatrox,"As long as this form lives, I will punish them.",True
Aatrox,My suffering... I will make it bloom.,True
Aatrox,"My darkness was not born, it was forged by my prison.",True
Aatrox,"I am not a king, I am not a god, I am... worse...",True
Aatrox,"Those who call me enemy, I welcome them.",True
Aatrox,"I will snuff out the light, I shall make darkness eternal!",True
Aatrox,"All that lives, I will end!",True
Aatrox,There is a darkness in my heart deeper than any shadow!,True
Aatrox,I march to death... Though I wish it was my own...,True
Aatrox,I will drown them in oceans of blood!,True
Aatrox,"Patience, Aatrox! Patience! Your freedom will come!",True
Aatrox,"Gods and mortals, they deserve only death!",True
Aatrox,Kneel mortals! So I may split your shoulders from your spine!,True
Aatrox,March toward vengeance... Drown this world in blood!,True
Aatrox,I must destroy even hope.,True
Aatrox,"For my imprisonment, they will suffer!",True
Aatrox,I will render these mortals' forms into my own!,True
Aatrox,Their screams will be like the soothing hum of insects at dusk.,True
Aatrox,"They will call me villain... Come, let me earn their hatred, again and forever.",True
Aatrox,"We had another name once... Now, we are Darkin.",True
Aatrox,I am ready to be the World-Ender!,True
Aatrox,"I am Aatrox, I am the World-Ender!",True
Aatrox,"Carnage, hate, yes! I am the World-Ender!",True
Aatrox,Take everything from them! Become the World-Ender!,True
Aatrox,"Insects, the World-Ender has come!",True
Aatrox,"""This is the time, the World-Ender is here!",False
Aatrox,Death to all! The World-Ender awaits!,True
Aatrox,See your World-Ender!,True
Aatrox,Bow worms! Bow before the World-Ender!,True
Aatrox,"Behold, the World-Ender!",True
Aatrox,I bring silence! I am the World-Ender!,True
Aatrox,"Quiet yourselves, the World-Ender is here!",True
Aatrox,There is no escape from the World-Ender!,True
Aatrox,"Now, I am the World-Ender!",True
Aatrox,"Tricked into this existence... False slave entrapped by endless life! I shall become a beast feeding on their destruction, and making them lament my unholy birth!",True
Aatrox,"I have no goodness left, it was taken from me, stolen! I... am the nemesis of life.",True
Aatrox,"They sing of love, hope and gods, all that makes them want to live! So, I will quiet that first!",True
Aatrox,"I shall take their limbs. I will reap their beloved! I will tear from their consciousness, the will to live. Yes, this is my purpose.",True
Aatrox,"Cleave through them, Aatrox! Crush their skulls! Shatter their ribs! Disembowl their very souls!"" *Heavy breathing* ""Our vengeance is at hand!",True
Aatrox,Every dream is a candle I must snuff out... I... am the darkness...,True
Aatrox,"The heavens, the endless skies folding into each other. Where are they now?",True
Aatrox,How far I have fallen! A god... reduced to a prisoner!,True
Aatrox,"Once in noble battle, I screamed against the silence. I stood as light against the darkness. Now, I serve a new master... oblivion...",True
Aatrox,See what beasts they have reduced us to... Creatures of flesh sustained only by this filth's blood and form!,True
Aatrox,"From entire villages and towns, I will rend the flesh... Until I stand... as an unholy god.",True
Aatrox,"March flesh, march toward them! We have horrors to sow! Lives to reap! Let me make them regret... being free.",True
Aatrox,Dark deeds I will do this day... Though I will carry myself as my former pride dictates!,True
Aatrox,"Where I was excellence, I am deformed... Recast poorly with these crude materials. But this abomination of flesh well serves my murderous intent.",True
Aatrox,"I shall not kiss the ground, nor let myself be wielded as a tool! I am damned, but I will remake this world in my dark image!",True
Aatrox,Let me tear their flesh from them. Let me break their souls... And murder their dreams.,True
Aatrox,I am but an unholy copy of life... A mockery of its freedom... And born in the cruel betrayal of the noble ideals I would've served.,True
Aatrox,"I touched the stars, and saw the glorious light of a thousand suns! Now, blinded by this elegance, how could my purpose be anything... but dark...",True
Aatrox,"I beg, let some challenge me today... So that I may tear out their hearts! Pray! Let me watch them die, eyes knowing they served... my dark purpose...",True
Aatrox,"""No beast so fierce, but knows some touch of pity... But I know none... and therefore am no beast."" *Laughs*",False
